sentiment,content
hate,dammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i can t watch and code
worry,i am jealous of your mom talking to i want to see you all our twittering is making me miss you
worry,i can t sleep i keep thinking about the puppy i played with today
worry,i m suppposed to be sleep but i got some much to do i got that one part of the song stuck in my head your a jerk iknow blaahh
neutral,what s going on sweetheart
neutral,how can it be so freaking difficult to get a system wide spellchecker shit i d settle for an office suite one stupid unhelpful windows
worry,last one month due to summer strawberry is not availble in the chennai markets
neutral,work at  am gotta go to bed soon
love,correct i adore him i just plucked him up and put him under my arm cuz he was cryin all better now hahaha
sadness,hiii im on my ipod i cant fall asleep
sadness,dont wanna work     tomorrow but i get paid
sadness,feels sad coz i wasnt able to play with the guys
neutral,princecharming
hate,cayogial i wanted to come to bz this summer not so sure anymore a teacher s life in the summer sucks
worry,first ever dropped call on my mobile on a call to no less being charged for data even though i have a data pack
hate,you win sigh rakeem
neutral,oh is that time for real
sadness,darn these allergies i don t like this time of year because of this i never used to have this problem either
worry,oh no one minute too late oh well
hate,damn that sucks
sadness,i wanted to come to bz this summer not so sure anymore a teacher s life in the summer sucks
hate,this website gave me a virus when i opened it more windows kept popping up
worry,ahh big scary bug flying around my room
sadness,i wish she knew what she puts me through she stole my heart never gave it back and occasionally she likes to be like look what i have
worry,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
neutral,that was stone cold crazy
boredom,i m so tired
neutral,shift time bbye biochem waaaaahhhhhh
neutral,i m sure some  will cum out and play i m workin through til midnight
neutral,i second that i wish it rained more where i am
sadness,early happy day of birth in case i don t make it very tired from therapy today n just taking my medicine misshu love ya
neutral,damn it were is eric or anyone else when you need your hair to be played with
neutral,i m feel deflated ugh no more dog
sadness,allergies suck ducks nuts    
neutral,well it almost was a good day guess i just retry tomorrow
hate,waraku is tasteless and expensive portion is so little re waraku
love,sounds good appreciate the suggestion been a week now and we re still offline time to ask for a refund
worry,he died wait what about magic jack i just read it
hate,youstinkatrespondingtotexts
sadness,wonders why her karma points turned into    
happiness,need to pack for cali cali cannot waittt thinking a glass of wine is in order to celebrate my weekend vaca still work  morrow tho
sadness,is miserable i feel like im gona cry sux
neutral,well i ran out of beer so i left not sure about the eta waiting waiting waiting bleh gonna be a long nite methinks
worry,my nose stud fell out and i can t find it looks like i ll have to head into amsterdam today and get a new one
neutral,claire love the show got into the office  am and no radio
love,pats in philly at   am i love it mmm cheesesteak miss my boyfriend but i love vacation
sadness,sigh i m going to bed i just don t feel right anymore
neutral,what i focused on tom so much i didn t see my beloved barack oh no i must vote for both poor president only has   votes
neutral,epicentre wheelock place tourists only
sadness,now i am depressed after watching so you think you can dance
sadness,just cross cause i m stuck twiddling my thumbs now ugh
neutral,miss   th
neutral,i know but like i said i have no idea how long it takes for them to investigate this stuff
worry,i cant sleep but im too sore to move
neutral,awe i miss my baby
empty,just answered you never learned how to write in french just basic stuff
neutral,what is it with chocolates i just can never say no
worry,achieving a new appreciation on how a xml build script can really be painful and cumbersome
neutral,i m too awake now ill have a nap this afternoon
worry,i cant do anything
neutral,still needs another   hours of sleep
relief,i m at work
fun,rip leonardo you were a great mini fiddler crab
neutral,morning tweeple way to early again
sadness,last day working for the uni today sad times
love,thanks neemah i m gonna be soooo close to you and izzy yet so far
worry,my head hurts so bad i could scream
worry,i just go up and im so tired and my airmatras is broken somewhere and now im in even more pain
worry,new work wellness challenge not going well i committed to not check email between   pm and   am failed on first day twice
worry,new blog post blog auto insuran i just found that my auto insurance policy had been expired i am too careless meanw
neutral,where are all ma bestfriends at mia or wat
worry,oh men i really can t see my face c mon guys
worry,i m showing my age renewed my tags last week went down   got my insurance renewal email today went down   i don t wanna be old
worry,my sole supporter is not my sole supporter
hate,don t you hate it when you finish all your work and there s still     hours left of work time
worry,urgh stop it guys
sadness,is still missing her husband i really want him home
sadness,i miss my puppy
surprise,  days of this month left and i only have  mb left on my onpeak downloads
fun,up is out i didn t get the memo it looks amazing
sadness,i ve given up on pizza kids would never let me have my fav the hot ones
worry,up reading tabloids about other people s lives thinking what i m gonna do with mine when my baby leaves
sadness,yearling in pet home died very sad for their whole family
neutral,fun in the sun hmmm hell no it s cold
worry,i got a giant splinter stuck up underneath my finger nail today at muppets it hurt but i got to go to first aid for the first time
sadness,we hate change so of course we re fans for life   oh and if we haven t met rob by then something went horribly wrong
worry,is feeling sad for some reason
sadness,well fuck this new pain med has an odd warning that actually applies to me i can t take this chan is displeased
sadness,just uploaded my new blog a painful story about an  s year old man who cried because he wanted to die very sad
neutral,i don t think so i want details
neutral,hi who is mary poppins
worry,its so addicting but its kind of a curse to do them at night time everytime i do one i feel like making music afterwards
neutral,my last tweet didn t send bad phone
fun,omg ur alive lol  day has gone sooo slow i m going insane grrr you doing anything tonight
empty,have a headache i m going to bed goodnight
neutral,i was watching parental control
fun,did you get them from california vintage ahahah they have the best dresses i want them but i dont have ebay
sadness,i just saw pics from this past thanksgiving and am sad because grandma was in them
worry,it wont let me
sadness,took a shift tomorrow i don t really feel like working right now
sadness,but now i have no money for a phone
worry,spent last night in a e er wife tangled wheels with daughter hit the deck dislocation fracture resulted
worry,  days i m about ready to visit torchwood and see if they ve heard anything
surprise,where are you in bris i can t hear any thunder
surprise,bec vs fat food winner fat food but not this weeknend ill beat it
sadness,too bad the red devils disappointing to say the least
surprise,i had a dream about a pretty pretty beach and there was no beach when i woke up
sadness,have a  ware  se not fast enough for  x x  m ssd raid   mhz iop on the hpt might try an adaptec      ghz
surprise,when da heck will the garage man get here i ask you when
worry,ate mandy please forgive me i really am sorry i don t wanna lose my bff
hate,umm yeah that s probably a pretty good note to self because eeeeeewwwwwwww
worry,why are plane tickets so expensive
fun,wendyisastar umm yeah that s probably a pretty good note to self because eeeeeewwwwwwww
worry,needs a job badly
sadness,daaammmnnnnn i do wish i was there
worry,went to di bella coffee roasters today and asked for a job the person i needed to speak to is on holiday fb
sadness,i played up until the latter parts of the voodoo village part co op until i lost my usual partner
empty,nite now i m up n bored as opposed to almost sleep frm b  
sadness,is a bad friend
neutral,happy birthdayyy hope you have an awesome day didn t see you at next last night
hate,im doing that shit right now im on vacation and you got me workin
neutral,ill be over in an oir
neutral,guess its a no go girlie i m still at the gym and work at    am
hate,would wish the severe migrains would stop doc s prescriptions arent working
love,i missed the game
sadness,no internet last night er was brill there was a massive explosion at the end of a nearby gas works er on standby
hate,cuz airlines are super lame
sadness,still a pity it comes with no lamb though
sadness,i m sorry to hear that here is my optimist things will get better for all of us
relief,is done painting all the bedroom furniture i still have to do the table but it will wait until after the move uggh moving in the heat
hate,i m so very tired and have insomnia
neutral,a hungry fool ill probably never see that krispy kreme again had to enjoy it they closing down
neutral,airport and you didnt show up tonight homo
hate,i hate bakersfield and i hate the ports let me go home already i want to start my vacation
neutral,what about me
neutral,looking for desktop twitter app that will actually let you access urls any suggestions i liked twittle but no linking
worry,people in my house do not know how to close doors
surprise,why am i completing facebook quizzes at this time of the morning especially a friday morning
neutral,out with i am soooo hungry
worry,i don t like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death
sadness,had to cancel wow for now
worry,wants to make a music profile but i don t have money i don t know how to write music i don t know how to play an instrument and no studio
sadness,but yeah i m sad about my ravenclaw account i love that account to bits
worry,it s     am and i hear a helicopter flying over my house that s kind of weird in other news my headache is back booooo
worry,oh no i am always here  
neutral,back from school ms suhana s last day as our ft ocu was okay i m playing altnoy over and over again
neutral,poll was trying to get it to work in a powerpoint to no avail
happiness,took a math test today the day before the test the teacher says bring your calculator luke was confident teacher decided no calcs
happiness,omg the concert was awesome madrigals gave me chills on almost every piece brooks also called up alumni but i didnt get to go
neutral,yeah it s terrible cockatoos are the hardest to live with so emotional good thing he found you though
sadness,up late with nothin   do
worry,i think the vog is making me sicker than i think feeling slightly achy
empty,i was watching harpers island lol there was no vodka involved
worry,i am doing homework it sux big time maths is the worst
neutral,would have been better imo if it let you play through all   songs provided i just start to get it and it blacks out
neutral, wordsaftersex it never started
sadness,sometimes i wish things could go back to the way they were the beginning of last summer
worry,i downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets but no they didn t
empty,trudy s off burnet the one up north that no one goes to
sadness,i feel the same way but i guess no matter where you are there will always be memes
happiness,i can t do   minutes of treadmill but done   minutes for today already gonna do   minutes more
worry,i m sooooooooooooo confused
neutral,with friends like vaiko nedumaran ltte didn t need enemies wrong advice at wrong time led to numerous deaths a lost cause as well
worry,work day   of  
happiness,chillin with the roomies can t wait for the zombie clwn cr its gonna be     weeks
neutral,i looove guitars and playing them i think they sound magnificent if only i was better if only
worry,no refunds but they do retrieve accounts takes like a week just hoping the thief doesn t use hacks or then it s permaban
neutral,no im not cries lol
sadness,cute malay girl came to seemy room for rent sadly think it was for her guyfreind bit misleading and disappointing lol
surprise,epicentre wheelock place   units for tourists only starting today
hate,i hate the new mt dew commercial the one with a giant mosquito it scares me and grosses me out all at the same time
neutral,come on knight it s been well over   hours
worry,not super keen on the drive home through the rain additional concentration required that i don t really wanna deal with
surprise,aw u can t let me in on the secret
surprise,im sorry i don t think i stick out at least compared to what i used to look like
worry,no transport for church wont be making it im crushed oh well more time for assignments i suppose my throat really hurts
hate,i hate when i see pregnant women smokinggg its sooo irresponsible n selfish its saaad ultimately the baby is the one who suffers
hate,lies lies lies you just cant avoid to lie about practically everything
neutral,twittascope is not rocking my socks go away already
neutral,driving back home because i forgot the piece of cake for
worry,so i tried jumping without the trampoline and its like thud thud shouldn t have eaten that cookie
sadness,everytime i send an email to my coach i feel a need to practice shitty balls lol
sadness,it s pissing me off and not letting me follow ericka
sadness,is going to sleep not peaceful wanted to hear him say good night but that didn t happen good night everyone
sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack i almost cried
neutral,i was so close to the tacos one spot too late
empty,umm how bout em aint get   see da game but i see dey survived anotha game of da series due to notin but lebron im guessin
surprise,is thinking so much and i m at work
worry,i have forgot the live with the jonas brothers on facebook
sadness,i haven t seen muffin in two whole days
sadness,i ll miss y all back give my regards
surprise,my gap year is going so quick
worry,i have to admit i m a bit bummed out that i wasn t with my friends walking today
neutral,girl a blunt is soooooooo in my thoughts right now i had an absolutly great day with a few stressors come home
worry,my twitter has been hacked again
sadness,just found mj mouse flats at djs of course there are none left in my size
neutral,i wont have time to buy and i need a new binder pa
hate,hahaha well its try its so ugly
neutral,  man ulduar is hard
worry,i don t even want to know why you know about vhemt but don t go we d miss you
fun,that s awesome we have that this weekend too but i can t go because i m moving this sat i should be a lot of fun though
neutral,night night twitter world still cant believe the thomas thing tomorrow s gunna be fun sad
neutral,this is happening to me too
surprise,oh no hugs
neutral,bored now because i was talking to someone but now they re busy with something else just kinda a bummer idk
sadness,i knoww things won t be the samee  
worry,omg ness it s     pm and i need to beup early to set up my garage sale it starts a  am wish i said  am i m beat
happiness,i kno i doooo yall partyin with out me
worry,okay so twitter suddenly changed how do i respond to messages now
neutral,ugh my dad just told me to read an article about kavya shivashankar the spellin bee girl and be more like her
worry,decided that no matter how good my hair looks curly it doesn t justify the burn i get from the curler my hands covered i suck at it
sadness,going to sleep gonna fall asleep playing apps again tmrw is going to suck
neutral,yea i gotta be up at    
hate,i hate when my bf beats da dogs but i guess that the only way to teach these pitts
worry,sprained my ankle like really badly and tore some stuffs it hurts and its my birthday weekend
sadness,i can t believe the metal gear solid song was stolen i m so disappointed
hate,think i may have broke a toe at the bar tonight thanks drunk girl for steppin all over me
neutral,not one sale done today at work explored balconies in the big theater w coworkers a fun day but void of chili fries and tips
sadness,i wish i had left   dead but first i d need something to play it on
neutral,me too
neutral,that story reminds of living in portugal
neutral,youre diabetic so is my dad i might be too not sure are you still allowed to eat sugar throughout the day
happiness,i spilled my beer all over my leg wasted half my beer home now i met a cute girl good conversation
hate,my roommate loves to ignore me
neutral,i ll make him nachos tomorrow better than if he would have made them himself
neutral,yeahhh dont judge my pillow
relief,scary lightning and thunder i m glad it s over now going to sleep i hope i m not late to school tomorow again haha
sadness,my teeth and head hurts
sadness,i hate rob zombie movies the smell of weed vommmm
hate,maths and science were the strongest for me i think dunno bout geography only did like   day of study for     a year of work
boredom,waiting in line tryst
worry,hope i get a job cuz we need an apartment i m drunk miss my lil punkin tehe
worry,just got home not wanting to read the last chaper of breaking dawn cause i dont want it to beover
worry,i need to be held gnite
worry,hanging out with sam billy and veronica not going to school tomorrow to take sam to body shops dang car accidents
sadness,no more arrested development i am sad
neutral,wicked what time you leaving how come you cant stay the night
sadness,omg i keep losing followers this is so sad i want   one day thats my goal d
sadness,i feel so deflated no more doggy
worry,i wanna see her hair hows everyone
sadness,i just had to empty my trash on the mac that was one of the most difficult things i have ever done in my life     pictures are gone
sadness,im contacting paws philippines so i can find tiger a new owner im so sad i love my dog soo much
sadness,just got home not wanting to read the last chaper of breaking dawn cause i dont want it to be over
worry,aww pray for the arroyo family everyone
neutral,there s a manual process but it s taking  ever on my outlook database pffff crappy msft product
sadness,fuuudge movie store is closed
sadness,alo is so sad and quiet and empty tonight
hate,hahahaha it s not horrible if others were singing with i m sure it could work i wish i could afford my own drum set
worry,you never answered your dm i sent you i need your info
worry,am trying to get through the pilot of the first season of friday night lights oh gosh pass the tissue
sadness,aw where are you headed to i just cancelled my trip to aussie
worry,i have cystic lacrimal infectection my eye and face are swollen and it hurts
worry,i didn t think anyone caught that
empty,i need to be sleeping but i m not even tired
neutral,oh nevermind i think this thing is unsalvageable
neutral,lyin in bed up faaaaar too early
sadness,sad that christian lacroix had to file bankruptcy
sadness,i dont feel good at all fuckkk
boredom,why did i agree to work a double shift
worry,looks like i ll never go to the zoo
worry,ohh poor girl i ll email her i am relying on you being here in october mr
neutral,when will medhurst play again
worry,bad times
hate,aarrgghh fu k a hose has leaked water all over the new floating floor
sadness,have to go to the dreaded dmv tomorrow
neutral,i m a bit ben s thai ed out
happiness,english class working on interactive orals
worry,thank you for the rec but that doesn t work
neutral,i m sorry excited for tomorrow night karaoke getting anything special for bday
worry,my puppy gizmo h s me haha he still growls me i always look back my long pruple scar on my fingie
worry,i don t know how ima work out tomorrow wit my body dis sore ugh
neutral,in     w o you
neutral,yeah plus it s just a little too far to walk to pinocchio s for sushi
worry,i m feeling this pressure in my head that always kicks in just before a nasty headache i m not looking forward to this
sadness,taylor swift and joe jonas looked really good together i m kinda sad they broke up
worry,i m suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts
worry,lady across the way had a miscarriage say a prayer
sadness,god i just want to sleep
hate,ohhhh thunderstorms boo why do they always have to make the power go out
worry,i feel so deflated no more doggy
sadness,found my book starting a real paper bound journal tonight have an annoying zit above my lip makes me look like i have herpes
hate,ratt rocked nashville tonite one thing sucked no encore like in the   s they still have a fun show pearcy has that hott bad boy look
worry,is feeling bad just got bad news about my mum
sadness,but but i dun wanna
sadness,damn girl i m so down but ya gotta let me know so i can get my kit together i got a flyer any next weekend i m down
sadness,dbl booooooo for being sick flippin blows bahaha i kno i dont have many friends on here either i feel so lame haha
neutral,thats what i was thinking but the only time it s gonna be on is   am
neutral,peeps still here fun times gotta sleep tho work in the a m some cool hot chicks here but none as cool as missing her
worry,don t feel like working i think i tweet this too often
sadness,feels sick to my stomach and idkk whyy
worry,vineri nimic special sau probabil un alt weekend pierdut
neutral,counting the hours of lost sunshine until the weekend
surprise,dude i just saw your sf pics looks like your mini excursion was pretty kick ass didn t see any sun while i was there tho
relief,is home safely but hungry
sadness,um i was thrown from van yesterday and had to be taken to the er
worry,got to final table but went out third don t think i ll be getting my free seat
neutral,good morning work this morning gutted lol nevermind
hate,i have to work in the morning while my friends get to party it up stupid bberry lite flashing red and i have no messages
happiness,fb is boring and i wanna sing right now
sadness,the link doesn t work
neutral,hahaha i don t know anyone or anything about it except they have powers lol i live in my own bubble
worry,the humpalow um ya i think so cell is dying
worry,last day at work sick to the bone
worry,i feel like i m on house arrest
neutral,love is like a war easy to begin hard to end fiuuhh
surprise,ur supposed to be in bk tho
worry,did you know that there is a shortage of shells for crabs to use on the beach due to beach combers it is very sad
surprise,oh no nighty night
happiness,must have new music i won t sleep until you give us chapter   i might die first though hurry
sadness,my stupid tooooth hurts
love,love the song together that s his song for me well i think it s still is
neutral,ready to go school
sadness,my computers broken and i broke my laptop so i had to use the phone ahh still on he cause they fucked up my order
neutral,it s good isn t it our holiday chalet is out of sight but look v similar to those ones going home again today
worry,it s a sad economy just heard of another friend losing their job so sad but just a reminder that
worry,i m just starting to feel really panicky and anxious that something bad has happened cos it seems like it s been ages
worry,my dog ran awayyy
hate,those suck so bad
worry,i m back top molar extracted swollen face all numb but no more toothache or sinus pain
relief,just finished   hours of texas life insurance ce tonight   more hours to go
worry,does anyone know any good rap songs i need to make a rap fun cd and i have no idea helllllpppp
love,i want to go to peru this summer ahhhhhhh hopefully yesyesyes i miss it over there
empty,what happen to the maids of yours quit once again
sadness,i m awake anybody else awake wish i lived in the us since all the fun happens when i m asleep
hate,at charle s with the power out lol damn savemart lost power and we could not buy beer
sadness,heehee i love you i am tired
worry,my mobile phone refuses to charge either the battery is broken or the chargerrr booooo
worry,oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
worry,hmmm i thought u were sleeping too bad i can t see those videos until tomorrow night
sadness,morning everyone sorry for going early last night had bad news felt totally crap today is a new day
empty,went to the beach and it started raining
sadness,how i wish my parents put me into a chinese school when i was younger then it ll be so much easier for me to get a job
relief,iainfunnell yeah physically moving too apparently we ll be reporting directly to mr hayward
neutral,airport and you didnt show up tonight homo
worry,jealous it looks like schindler s list in toronto
enthusiasm,i want another tatt
neutral,what come as you are but erock just left bah d
enthusiasm,so i need to make a lot of money tomorrow
sadness,being in your room makes me sad
worry,nearly fell asleep but was jolted out of bed by a massive panic attack and now i m not sure if i can sleep at all
neutral,for the gays i only made   tonight
sadness,oh f ck i completely forgot about thirsty thursday oh my gaga this sucks
sadness,if one people did any wrong the world blames all the people over there this is the great world which we are living in shit
surprise,nope they are all sleeping cuz they live on the east coast
neutral,i bet its cool down in sr huh it s not here i haven t stopped sweating since noon when dad and i were packing
sadness,eww dislike
worry,tactical mistake going to the city library and buying milk who knew ouch ouch ouch maybe a good thing i didn t try for uni
neutral,decided   trans frm relaxed   natural hair but i wish my whole head looked like my roots age of the instant gratification
sadness,sorry bout the cat
neutral,needs to have an increase on her salary
worry,my stomach feels like it s touching the ground i m so full
love,pug just woke me from an incredible sleep
love,i can t wait to hear your new album i m sure will be amazing please just replay to me i love you so much
worry,sooo much work so little time
sadness,missed iron chef
sadness,the ds version sucks
sadness,what a bad day
enthusiasm,i know ridiculous we never got to hang out i love chicago and want to go shopping so a trip sounds like fun
hate,hates the net ayaw bumukas ng twitter
worry,ugh my internet was down
surprise,omg i didnt tweet all that much today sadness
worry,is feeling so giddy and wanna go home
neutral,the week just wasnt the same without an adam lambert performance
neutral,the link doesn t work
worry,up and packing its the last day of youth camp
neutral,gossip girl when are you coming back chaceeeeeee
neutral,smh hiphop nursery rhymes
worry,somebody please save the polar bears
happiness,noooooooooooo i just look at a lot of pictures lol lol
surprise,not really sleepy bored is the right word again not much work
worry,it has come to my attention from a  yo friend that i ve recently gained a ton of weight he didn t know it was me
worry,guess im staying home tonight no movie ing for me
sadness,went to the cd store to search for the cd but
worry,reminds me of the weather a month ago it was horrible i hope all is well hugs
sadness,i miss my mom may angels lead you in
love,there s really no android twitter app of tweetie s calibre
hate,on jacksonville beach walking in the cold ass water but have to work in the morning ily
neutral,no it s not
sadness,i feel the same way every day
sadness,can t sleep sucks the one day i have to sleep in and i have to get up and go shopping with mom ugh
neutral,well i just got home and its not on till tmw at  p but with comcast its on right now but i didnt miss it
sadness,sleppytime really missing my godfather right now love you wayne
sadness,so have a headache right now and it sucks
worry,hope ya sleepin well guys still here
fun,i should be finished but i m not color drawing here i come
sadness,lakers baby lakers i ll miss the game tmwr i have to work you ll have to keep me posted please
sadness,comfort food of the day pan mee though it didnt taste any good
worry,damn being drunk and hot sucks
sadness,misses my baby
worry,is not sleeping because he has paperwork to do
worry,showered in ice cold water sweating now means one thing i m sick
worry,midnight cry wish the person i wanted wanted me right now
neutral,i ma need you to follow me real quick cause i can t dm you
sadness,i m poorly and can t sleep
worry,went to pole class feeling discouraged i am hopeless when it cones to dancing or sexy moves or spreading my legs
worry,and these poor unfortunate souls don t appear to have any pants at all  qvz
worry,stephanieellen if i told you how often i wash my hair you would never speak to me again
worry,looks like another sleepless night dedicated to homework sorry in advance ms chapman
worry,why do u lot mock me
worry,didnt say goodnight to you
hate,i am not a pussy damnit sending you an e mail right now btw
sadness,has work tom
neutral,in the hongkong international airport has to wait for     hours for our next flight to cebu
neutral,can t sleep and nothings on tv
love,the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now
neutral,oh you ve been superseeded not good enough
sadness,today we say goodbye to the second good friend in a week from dmp but at least the sun is shinning and i m definately not working this pm
anger,fuckin m transtelecom
boredom,is really really bored i guess i will go to bed
worry,i met a stranger just   min ago he was stalking me at the store
surprise,tee we beefin what was u supposed to do before leavin
sadness,sometimes the things you say hurt the ones you love most unintentionally and you can never ever take it back or fix it
sadness,that sucks
neutral,iiii know and mean
sadness,having fever dont feel to work
worry,taking horse pills hoping i can get some sleep tonight
neutral,pgpm student from where i myself was a pgpm student about   years back i wish i could stay one
sadness,missing days can t pass quick enough
hate,hey that s my school i hate that place
sadness,working from home today my back is killing me doctor and then physio after later today
neutral,back to work with no distractions
happiness,demi just say hi to me and it s enough just replay to me please love you so much
neutral,awwww i never noticed this
neutral,that sucks well state starts tomorrow so im headin   bed nitey nite
worry,looks like it s going to be too nice to work today how annoying as i have no choice
neutral,did you guys keep a set list i forgot to ask for one xx
neutral,first impression of silverlight sadly based on what i saw today it s quite problematic
worry,is desperatly hoping my dad takes me to vanessa s game
worry,hi fuck your job
sadness,missing you all deeply
neutral,the time you go to bed i have to get up to go to work
happiness,big now vanessa is going to be   in september its going by so fast its hard cuz im workin so much i miss out on alot
sadness,sniff sniff take care ravels hopefully we ll be chatting again soon in the mean time i ll hella miss you
neutral,lucky now i want to teleport
worry,somebody please save the polar bears
worry,my nose is runny my head is pounding and teeth hurt like a bitch man i feel awful
sadness,i don t want her to leave
relief,headin home refreshed my mind and soul justa lil bit bac to reality
happiness,good lord just seen the agency work for our upcoming open day money for jam
empty,wut do i do now
anger,working but it s fridaaaayyyyy
worry,at the grove for drag me to hell i hope that it doesn t suck
worry,so i feel like shit for saying happy belated birfdayy i m only a month late
sadness,lmao thats sad kinda discourages me  rom goin if the shit s wack
surprise,got home from work     and just finished cleaning now i need to eat dinner and don t know what i want ugh oh well might not eat
sadness,i wish i was there
sadness,i miss my little batty she was only   months old when she got sick she was always so fun and full of life   even at the very end
neutral,fc is finally up again it s about time i hate that this keeps happening
neutral,seriously bored without anyone to talk to but not tired enough for sleep
sadness,morning again i hate mornings so offensive
neutral,still give your computer a break omg
sadness,bed bed bed do you never answer texts anymore i thought of you the other day and sent one but never heard back sad day
neutral,where u at
sadness,waah we re no longer your peeps
sadness,lol wow dawg doesn t sound like you re playing i feel bad now haha
surprise,extremly deep
happiness,my little foster kittens are getting big chubba and winston are going   b missed when they get amazing homes
enthusiasm,one week till exam block
neutral,i m not at home with my cats right now
